,sku_wo_pkg,country,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il
2192,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-09-01,0.0,180.01129662760857,180.01129662760857,,,,,,,,,,,,35884.242253666096,7197.61488564048,9052.13499519315,19634.4923728325,27155.671278639198,8728.57097502692,684.71487,981.792149999999,3309.80082,0.0
2193,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-10-01,0.0,155.82116232640897,155.82116232640897,,,,,,,,,,,,36752.8319917234,7246.95270919215,9341.25760977423,20164.621672757,28278.3189775475,8474.5130141759,713.01708,950.675439999999,3314.4166,0.0
2194,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-11-01,0.0,184.01386949839332,184.01386949839332,,,,,,,,,,,,42653.338512534,6929.96390465447,10158.1464143345,25565.228193545,33378.6713708973,9274.66714163675,831.52224,827.6137799999989,3321.88926,0.0
2195,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2015-12-01,0.0,167.32106760172402,167.32106760172402,,,,,,,,,,,,36691.796780951605,7049.67769841591,8726.72715828838,20915.3919242473,28561.7736650958,8130.02311585578,910.13949,745.29153,3327.9654600000013,0.0
2196,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2016-01-01,0.0,192.81854258046596,192.81854258046596,159.5933074951172,0.0,0.0,0.0,0.0,,,,,,,38324.3618725204,7309.65329058042,8950.67828635383,22064.030295586093,30867.4081180073,7456.953754513109,950.7500699999999,715.66524,3329.26368,159.5933074951172
2197,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2016-02-01,0.0,126.50572158452772,126.50572158452772,157.5594024658203,0.0,0.0,0.0,0.0,,,,,,,30753.2815813165,6457.703696104971,6998.20824466223,17297.3696405493,24582.355449721803,6170.9261315947315,976.87534,700.1073,3330.51262,157.5594024658203
2198,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2016-03-01,0.0,163.6160261191161,163.6160261191161,101.90390014648438,0.0,0.0,0.0,0.0,,,,,,,37020.4966905489,7533.994697703521,8507.87618736095,20978.6258054844,28424.5704977881,8595.9261927608,1002.73086,684.71487,3331.7492399999996,101.90390014648438
2199,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2016-04-01,0.0,172.28959907028477,172.28959907028477,80.37979888916016,0.0,0.0,0.0,0.0,,,,,,,34940.6716351337,7108.699248709841,7858.72545138917,19973.2469350347,26855.3531771974,8085.318457936371,983.4845,713.01708,3332.81954,80.37979888916016
2200,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2016-05-01,0.0,151.2416563577047,151.2416563577047,92.61000061035156,0.0,0.0,0.0,0.0,,,,,,,36129.4957650516,7106.00067933413,7996.32236222729,21027.1727234902,28040.1305749052,8089.36519014644,873.91792,831.52224,3333.875980000001,92.61000061035156
2201,UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,2016-06-01,0.0,138.9500761541296,138.9500761541296,29.518199920654297,0.0,0.0,0.0,0.0,,,,,,,35940.1713341321,7051.723857188829,8068.156481087181,20820.2909958561,28382.9233276142,7557.248006517959,803.9656200000003,910.13949,3334.90008,29.518199920654297
