country,sku_wo_pkg,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il,total_vol_old,if_vol_old,fo_vol_old,gum_vol_old,cl_vol_old,il_vol_old,0to6_month_population_old,6to12_month_population_old,12to36_month_population_old,uprep_old,upre_old,spre_old,mainstream_old,APT_si,C&G_si,Feihe_si,Friso_si,KC_si,NC_si,Weyth_si,brand_si,raw,brand_price,anp,tp,rebate,tp_rebate,sc_anp,sc_ts,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,uprep,upre,spre,mainstream
UK,UK_APT_PN_1,APT,PN,1,IF,1/1/2015,0,107.0878088,107.0878088,0,,0,,0,,,190.5153302,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,215.2998484,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
UK,UK_APT_PN_2,APT,PN,2,FO,1/1/2015,0,88.12642529,88.12642529,0,,0,,0,,,192.3224919,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,215.2998484,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
UK,UK_APT_PN_3,APT,PN,3,GUM,1/1/2015,0,146.4331136,146.4331136,0,,0,,0,,,184.9182416,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,215.2998484,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
UK,UK_APT_PN_4,APT,PN,4,GUM,1/1/2015,0,124.9849835,124.9849835,0,,0,,0,,,186.0946779,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,215.2998484,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
UK,UK_C&G_C&G_1,C&G,C&G,1,IF,1/1/2015,0,68.02884614,68.02884614,0,,0,,0,,,172.2761004,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,118985,1/1/2015,181.0211936,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
UK,UK_C&G_C&G_2,C&G,C&G,2,FO,1/1/2015,0,50.37608185,50.37608185,0,,0,,0,,,170.7370525,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,118985,1/1/2015,181.0211936,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
UK,UK_C&G_C&G_3,C&G,C&G,3,GUM,1/1/2015,0,99.30158968,99.30158968,0,,0,,0,,,159.0819564,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,118985,1/1/2015,181.0211936,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
UK,UK_C&G_C&G_4,C&G,C&G,4,GUM,1/1/2015,0,102.9795409,102.9795409,0,,0,,0,,,176.1211243,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,118985,1/1/2015,181.0211936,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_APT_PF_1,APT,PF,1,IF,2/1/2015,0,26.27708428,26.27708428,0,,0,,0,,,250.9216636,,,,838.3833333,843.8,3282.883333,0,33294.42208,7939.114802,7957.512065,17397.79521,27052.68285,6241.739229,838.3833333,843.8,3282.883333,693.7505169,3183.464576,15333.22435,14083.98267,172490,97872,80799,79135,42928,53314,42667,172490,2/1/2015,211.4403981,,,,,,,38502.65309,9592.764455,9461.461249,19448.42739,32187.07139,6315.5817,1292.815309,3896.117364,17694.21334,15160.85628
ANZ,ANZ_APT_PF_2,APT,PF,2,FO,2/1/2015,0,23.28406291,23.28406291,0,,0,,0,,,239.5324738,,,,838.3833333,843.8,3282.883333,0,33294.42208,7939.114802,7957.512065,17397.79521,27052.68285,6241.739229,838.3833333,843.8,3282.883333,693.7505169,3183.464576,15333.22435,14083.98267,172490,97872,80799,79135,42928,53314,42667,172490,2/1/2015,211.4403981,,,,,,,38502.65309,9592.764455,9461.461249,19448.42739,32187.07139,6315.5817,1292.815309,3896.117364,17694.21334,15160.85628
